2026-04-01 13:51:34.733 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.1.Final
2026-04-01 13:51:34.781 [main] INFO  o.e.j.JobSearchPlatformApplication - Starting JobSearchPlatformApplication using Java 25.0.2 with PID 15928 (C:\Users\Asus\Desktop\ПНАЯВУ\JobSearchPlatform\target\classes started by Asus in C:\Users\Asus\Desktop\ПНАЯВУ\JobSearchPlatform)
2026-04-01 13:51:34.782 [main] DEBUG o.e.j.JobSearchPlatformApplication - Running with Spring Boot v3.1.5, Spring v6.0.13
2026-04-01 13:51:34.783 [main] INFO  o.e.j.JobSearchPlatformApplication - No active profile set, falling back to 1 default profile: "default"
2026-04-01 13:51:35.727 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2026-04-01 13:51:35.811 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 75 ms. Found 7 JPA repository interfaces.
2026-04-01 13:51:36.761 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
2026-04-01 13:51:36.775 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2026-04-01 13:51:36.780 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2026-04-01 13:51:36.781 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.15]
2026-04-01 13:51:37.093 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2026-04-01 13:51:37.093 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 2268 ms
2026-04-01 13:51:37.194 [main] DEBUG o.e.j.config.RequestLoggingFilter - Filter 'requestLoggingFilter' configured for use
2026-04-01 13:51:37.377 [main] INFO  o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
2026-04-01 13:51:37.455 [main] INFO  org.hibernate.Version - HHH000412: Hibernate ORM core version 6.2.13.Final
2026-04-01 13:51:37.458 [main] INFO  org.hibernate.cfg.Environment - HHH000406: Using bytecode reflection optimizer
2026-04-01 13:51:37.867 [main] INFO  o.s.o.j.p.SpringPersistenceUnitInfo - No LoadTimeWeaver setup: ignoring JPA class transformer
2026-04-01 13:51:37.911 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2026-04-01 13:51:38.197 [main] INFO  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Added connection org.postgresql.jdbc.PgConnection@6654ca0d
2026-04-01 13:51:38.199 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
2026-04-01 13:51:38.262 [main] WARN  org.hibernate.orm.deprecation - HHH90000025: PostgreSQLDialect does not need to be specified explicitly using 'hibernate.dialect' (remove the property setting and it will be selected by default)
2026-04-01 13:51:39.267 [main] INFO  o.h.e.t.j.p.i.JtaPlatformInitiator - HHH000489: No JTA platform available (set 'hibernate.transaction.jta.platform' to enable JTA platform integration)
2026-04-01 13:51:39.417 [main] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
2026-04-01 13:51:39.669 [main] INFO  o.s.d.j.r.query.QueryEnhancerFactory - Hibernate is in classpath; If applicable, HQL parser will be used.
2026-04-01 13:51:40.711 [main] WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2026-04-01 13:51:41.103 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2026-04-01 13:51:41.130 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
2026-04-01 13:51:41.139 [main] INFO  o.e.j.JobSearchPlatformApplication - Started JobSearchPlatformApplication in 7.174 seconds (process running for 8.59)
2026-04-01 13:54:38.705 [http-nio-8080-exec-1] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2026-04-01 13:54:38.706 [http-nio-8080-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2026-04-01 13:54:38.707 [http-nio-8080-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Completed initialization in 1 ms
2026-04-01 13:54:38.918 [http-nio-8080-exec-1] WARN  o.e.j.c.ServiceExecutionTimeAspect - SERVICE UserService.findById(..) failed in 100 ms: User not found with id: 9999
2026-04-01 13:54:39.012 [http-nio-8080-exec-1] INFO  o.e.j.config.RequestLoggingFilter - HTTP GET /api/users/9999 -> 404 (303 ms)
2026-04-01 13:54:54.466 [http-nio-8080-exec-2] INFO  o.e.j.config.RequestLoggingFilter - HTTP GET /api/users/0 -> 400 (30 ms)
2026-04-01 13:55:21.881 [SpringApplicationShutdownHook] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Closing JPA EntityManagerFactory for persistence unit 'default'
2026-04-01 13:55:21.883 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated...
2026-04-01 13:55:21.885 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown completed.
2026-04-01 15:06:39.030 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.1.Final
2026-04-01 15:06:39.064 [main] INFO  o.e.j.JobSearchPlatformApplication - Starting JobSearchPlatformApplication using Java 25.0.2 with PID 24732 (C:\Users\Asus\Desktop\ПНАЯВУ\JobSearchPlatform\target\classes started by Asus in C:\Users\Asus\Desktop\ПНАЯВУ\JobSearchPlatform)
2026-04-01 15:06:39.064 [main] DEBUG o.e.j.JobSearchPlatformApplication - Running with Spring Boot v3.1.5, Spring v6.0.13
2026-04-01 15:06:39.065 [main] INFO  o.e.j.JobSearchPlatformApplication - No active profile set, falling back to 1 default profile: "default"
2026-04-01 15:06:39.730 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2026-04-01 15:06:39.823 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 83 ms. Found 7 JPA repository interfaces.
2026-04-01 15:06:40.436 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
